ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10400515100760001,9/8/2023,9/9/2023 9:27,23:45,0:00,1.539,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,0:00,0:15,2.974,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,0:15,0:30,2.787,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,0:30,0:45,2.758,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,0:45,1:00,1.986,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,1:00,1:15,0.962,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,1:15,1:30,0.964,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,1:30,1:45,0.881,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,1:45,2:00,1.051,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,2:00,2:15,0.838,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,2:15,2:30,1.041,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,2:30,2:45,1,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,2:45,3:00,0.817,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,3:00,3:15,1.01,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,3:15,3:30,0.73,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,3:30,3:45,1.081,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,3:45,4:00,0.604,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,4:00,4:15,0.873,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,4:15,4:30,0.835,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,4:30,4:45,1.028,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,4:45,5:00,0.768,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,5:00,5:15,1.001,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,5:15,5:30,0.569,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,5:30,5:45,1.029,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,5:45,6:00,0.654,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,6:00,6:15,0.94,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,6:15,6:30,0.608,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,6:30,6:45,0.551,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,6:45,7:00,0.745,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,7:00,7:15,0.937,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,7:15,7:30,0.461,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,7:30,7:45,0.635,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,7:45,8:00,0.281,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,8:00,8:15,0.416,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,8:15,8:30,0.53,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,8:30,8:45,0.266,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,8:45,9:00,0.747,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,9:00,9:15,0.334,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,9:15,9:30,0.916,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,9:30,9:45,0.558,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,9:45,10:00,0.609,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,10:00,10:15,0.523,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,10:15,10:30,0.348,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,10:30,10:45,0.555,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,10:45,11:00,0.832,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,11:00,11:15,0.745,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,11:15,11:30,0.784,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,11:30,11:45,0.88,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,11:45,12:00,0.901,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,12:00,12:15,0.921,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,12:15,12:30,0.913,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,12:30,12:45,0.926,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,12:45,13:00,0.914,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,13:00,13:15,0.936,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,13:15,13:30,1.012,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,13:30,13:45,0.934,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,13:45,14:00,1.149,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,14:00,14:15,1.32,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,14:15,14:30,1.181,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,14:30,14:45,1.198,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,14:45,15:00,1.489,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,15:00,15:15,1.293,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,15:15,15:30,1.398,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,15:30,15:45,1.374,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,15:45,16:00,1.246,A,Consumption
